Date,start_time,end_time,duration_of_flare,File,area_trapz_a,area_simps_a,area_trapz_c,area_simps_c,area_above_background_trapz_a,area_above_background_simps_a,area_above_background_trapz_c,area_above_background_simps_c
01/03/2023,06:25:51,09:59:26,3:33:35,mvn_euv_l2_bands_20230103_v15_r01.cdf,5.987088931783654,6.016167455463329,44.827515247781264,41.81564558635396,-0.0316296200444004,-0.0025510963647255025,-0.07273904058664016,-3.084608702013945
01/06/2023,00:14:00,14:51:08,14:37:08,mvn_euv_l2_bands_20230106_v15_r01.cdf,14.471233987419595,14.509772739561626,124.86030671020711,123.1389675192976,0.013540583009968188,0.05207933515199947,1.0043710118209077,-0.7169681790886102
01/07/2023,00:51:07,09:04:55,8:13:48,mvn_euv_l2_bands_20230107_v15_r01.cdf,10.15382247355058,10.218255839935313,82.1745835612046,77.80460866938188,-0.11952329792592842,-0.055089931541195014,0.5099675206756018,-3.8600073711471197
01/10/2023,00:18:16,00:54:45,0:36:29,mvn_euv_l2_bands_20230110_v15_r01.cdf,0.9929130851291659,0.9929108454047106,7.676384741145323,7.676518990759776,0.0032249591360830054,0.0032227194116277724,-0.0027034641022067873,-0.0025692144877540457
01/10/2023,02:33:59,09:08:49,6:34:50,mvn_euv_l2_bands_20230110_v15_r01.cdf,10.864198116324202,10.691064947752103,78.23441988232247,79.09385146193725,0.15890472883153528,-0.014228439740563203,0.17741547603914398,1.0368470556539222
01/12/2023,06:04:08,07:52:29,1:48:21,mvn_euv_l2_bands_20230112_v15_r01.cdf,3.5286197966155752,3.528621804414371,23.05367485390247,23.05361353585624,0.2141045860020121,0.21410659380080777,0.025004193494268634,0.024942875448036972
01/14/2023,20:12:47,23:29:45,3:16:58,mvn_euv_l2_bands_20230114_v15_r01.cdf,0,0,0,0,0,0,0,0
01/15/2023,03:19:27,06:07:36,2:48:09,mvn_euv_l2_bands_20230115_v15_r01.cdf,4.716491226051874,4.716487428378896,34.038290717737354,34.03822715359948,-0.13375439112506626,-0.13375818879804413,0.1906954727356549,0.1906319085977799
01/17/2023,23:26:28,23:53:49,0:27:21,mvn_euv_l2_bands_20230117_v15_r01.cdf,0,0,0,0,0,0,0,0
02/09/2023,02:45:58,06:07:49,3:21:51,mvn_euv_l2_bands_20230209_v15_r01.cdf,7.029806139480623,7.100372539915577,47.60824524298022,46.36781786352717,0.6184636702989321,0.6890300707338861,0.07796465567908228,-1.162462723773963
02/09/2023,09:00:45,12:25:11,3:24:26,mvn_euv_l2_bands_20230209_v15_r01.cdf,5.692395649024363,5.692397655964179,41.095785659616034,41.09559877193854,0.39378504973549244,0.39378705667530856,0.3640292650936843,0.36384237741619074
02/10/2023,02:59:48,05:43:54,2:44:06,mvn_euv_l2_bands_20230210_v15_r01.cdf,1.7830468797470163,1.7830468138649642,14.35229720643563,14.352311684466384,-0.006073149570311909,-0.006073215452363945,-0.04169702055968649,-0.041682542528931776
02/11/2023,15:49:46,22:56:45,7:06:59,mvn_euv_l2_bands_20230211_v15_r01.cdf,3.1949831243358267,3.1949840977526076,26.406472242528267,26.406470386800432,-0.13037579665285737,-0.1303748232360764,0.2730724309565815,0.273070575228747
04/06/2023,05:48:37,08:12:45,2:24:08,mvn_euv_l2_bands_20230406_v15_r02.cdf,3.057871955066509,3.635472559094944,27.004167531180347,28.705871790190276,-0.01121110312089435,0.5663895009075408,0.07397888310093848,1.7756831421108679
04/07/2023,10:13:34,11:22:19,1:08:45,mvn_euv_l2_bands_20230407_v15_r02.cdf,0.9050831407318836,0.9050834184611698,7.275213448727051,7.275191198759769,0.013810799405419072,0.013811077134705307,-0.029329029538475382,-0.029351279505757333
04/09/2023,02:23:03,04:37:11,2:14:08,mvn_euv_l2_bands_20230409_v15_r02.cdf,0.706020270989121,0.7060204515695031,5.782363838203791,5.782351876600443,-0.0022951080998052653,-0.0022949275194231733,-0.008494145404450926,-0.008506107007798747
04/11/2023,09:18:57,22:44:08,13:25:11,mvn_euv_l2_bands_20230411_v15_r02.cdf,13.001983767618425,13.836081768280419,110.543026821344,154.11473836911293,-0.359548839363212,0.474549161298782,0.6349077554888112,44.20661930325774
04/21/2023,17:46:11,21:08:12,3:22:01,mvn_euv_l2_bands_20230421_v15_r02.cdf,1.7728150458328953,1.7233082947875147,16.45381411305856,16.8422523361579,0.00834808035742518,-0.04115867068795542,0.027377796264609344,0.41581601936395174
05/03/2023,09:17:56,10:13:46,0:55:50,mvn_euv_l2_bands_20230503_v15_r02.cdf,1.3027584849708604,1.3027583468787753,10.55835249816874,10.558357180000083,0.03996057055316293,0.03996043246107783,0.03271956071865034,0.03272424254999429
05/03/2023,10:13:46,10:35:29,0:21:43,mvn_euv_l2_bands_20230503_v15_r02.cdf,0.48306742466933494,0.48306676706841717,4.071530420012215,4.071551246261633,-0.002872484796535346,-0.002873142397453121,-0.00030817970079421997,-0.0002873534513767595
05/03/2023,10:44:36,13:52:44,3:08:08,mvn_euv_l2_bands_20230503_v15_r02.cdf,4.045538889123185,4.179093064589725,35.43738093519279,40.65470571201776,-0.07367379395012463,0.059880381516414616,0.10947916883274189,5.3268039456577085
05/04/2023,08:20:16,16:27:18,8:07:02,mvn_euv_l2_bands_20230504_v15_r02.cdf,9.642929974306778,9.441259182298088,80.35255153478121,69.85514003898253,-0.4333619105838409,-0.6350327025925306,-0.0017301253636077263,-10.499141621162295
